,Location,Pet_Owners,Registrations_per_Pet_Owner,Total_Registrations
0,신설동,147.0,1.32,194.0
1,용두동,1025.0,1.31,1347.0
2,이문동,1344.0,1.77,2373.0
3,장안동,2745.0,1.31,3584.0
4,전농동,1559.0,1.26,1960.0
5,제기동,901.0,1.33,1194.0
6,회기동,285.0,1.18,335.0
7,휘경동,1130.0,1.25,1413.0
8,답십리동,1873.0,1.36,2538.0
9,청량리동,659.0,1.32,873.0
