,Location,Pet_Owners,Registrations_per_Pet_Owner,Total_Registrations
0,내곡동,308,1.43,439
1,반포동,4034,1.29,5203
2,방배동,5111,1.26,6428
3,서초동,4760,1.31,6250
4,신원동,244,1.35,329
5,양재동,1717,1.32,2263
6,염곡동,54,1.54,83
7,우면동,1106,1.32,1460
8,원지동,12,1.33,16
9,잠원동,2518,1.26,3166
